code,name,description,secuencia,tipoLocalizacion,centroLogistico,ubicacionArea,paisOrigen
WH0133,ALUMECO S A,,133,Almacén,,ZONA FRANCA INDUSTRIAL SAN PEDRO DE MACORÍS,DO
WH0132,ALUMAXINC DEL CARIBE EIRL,,132,Almacén,,ZONA FRANCA INDUSTRIAL DE SAN ISIDRO,DO
WH0140,AMERICALL GROUP DOMINICANA S A,,140,Almacén,,,
WH0144,AMERICAN RECYCLING S A,,144,Almacén,,Z.F.ESP.AMERICAN RECYCLING(STO DGO),DO
WH0143,AMERICAN PACKAGING CORPORATION,,143,Almacén,,"Z.F. IND., SANTIAGO I",DO
WH0141,AMERICAN CONTRACT ELECTRONICS S A,,141,Almacén,,ZONA FRANCA INDUSTRIAL SAN PEDRO DE MACORÍS,DO
WH0148,AMERICANA JEWEL CLUB INC,,148,Almacén,,ZONA FRANCA INDUSTRIAL DE SAN ISIDRO,DO
WH0149,AMISI COMUNICATIONS S A,,149,Almacén,,ZONA FRANCA INDUSTRIAL DE NIGUA,DO
WH0142,AMERICAN CYBERSYSTEMS LATIN AMERICA INC,,142,Almacén,,ZONA FRANCA INDUSTRIAL PUERTO PLATA,DO
WH0150,AMLAT PCS WIRELESS DOMINICAN REPUBLIC SAS,,150,Almacén,,"Z.F. IND., LAS AMERICAS",DO
WH0145,AMERICAN RECYCLING S A,,145,Almacén,,Z.F. ESPECIAL HAINA,DO
WH0146,AMERICAN STEEL BUILDING CORPORATION,,146,Almacén,,Z.F. ESP. AMERICAN STEEL BUILDING C,DO
WH0147,AMERICAN STEEL BUILDING CORPORATION,,147,Almacén,,,
WH0151,AMLE COMERCIAL C POR A,,151,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0158,ANTONIO MANUEL CESPEDES,,158,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0159,ANTONIO RAMON TAVERAS AGROINDUSTRIAL C POR A,,159,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0152,AMLE INDUSTRIES SRL,,152,Almacén,,"Z.F. IND., GUAZUMAL",DO
WH0154,AMOV INTERNATIONAL TELESERVICES S A,,154,Almacén,,Z.F. ESP. AMOV INTERNATIONAL TELESERVICES,DO
WH0157,ANTILLES MANUFACTURING S A,,157,Almacén,,"Z.F. IND., SANTIAGO I",DO
WH0155,AN ROM LOGISTICS SERVICES C POR A,,155,Almacén,,ZONA FRANCA INDUSTRIAL DE SAN ISIDRO,DO
WH0156,ANTILLEAN MARKETING SERVICES INC,,156,Almacén,,ZONA FRANCA INDUSTRIAL DE NIGUA,DO
WH0153,AMOV INTERNATIONAL TELESERVICES S A,,153,Almacén,,"Z.F. IND., HAINAMOSA",DO
WH0160,ANTONIO RAMON TAVERAS AGROINDUSTRIAL C POR A,,160,Almacén,,,
WH0161,APORDOM,,161,Almacén,,ADMINISTRACION BOCA CHICA,DO
WH0164,AQUA AGRO LIMITED,,164,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
